"","ResponseID","ResponseDate","PublicationDate","Journal","Q_1","Q_2","Q_3","Q_4_1","Q_4_2","Q_4_3","Q_4_4","Q_4_5","Q_4_6","Q_4_7","Q_4_8","Q_4_9","Q_4_10","Q_4_11","Q_4_12","Q_4_13","Q_4_14","Q_4_15","Q_4_15_TEXT","Q_4_16","Q_5_1","Q_5_2","Q_5_3","Q_6_1","Q_6_2","Q_6_3","Q_6_4","Q_6_5","Q_6_6","Q_6_6_TEXT","Q_7_1","Q_7_2","Q_7_3","Q_7_4","Q_7_5","Q_7_5_TEXT","Q_7_6","Q_8_1","Q_8_2","Q_8_3","Q_8_4","Q_8_5","Q_8_6","Q_8_7","Q_8_8","Q_8_8_TEXT","Q_8_9","Q_8_10","Q_9","Q_10_1","Q_10_2","Q_10_3","Q_10_4","Q_10_5","Q_10_6","Q_10_7","Q_10_8","Q_10_9","Q_10_10","Q_10_11","Q_10_12","Q_10_12_TEXT","Q_11_1","Q_11_2","Q_11_3","Q_11_4","Q_11_5","Q_11_6","Q_11_7","Q_11_8","Q_11_9","Q_11_10","Q_11_11","Q_11_11_TEXT","Q_12","Q_13","Q_14_1","Q_14_2","Q_15","Q_16"
"583","R_0j3CVIphfr0WL8o","Mar 2011","Jan 2011","J. Exp. Bot.","Agree","Neutral","2-4 papers with archived data","Never","Never","Never","Once","Never","Never","Never","Never","Never","Never","Never","Never","A few times","Never",NA,"","Never","Recommends online public archiving","I don't know","I don't know","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","We hadn't considered publicly archiving the dataset","","","","","","","","Neutral","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neutral",NA,"","Neutral",NA,"Neutral",NA,"Neutral","Neutral","Neutral",NA,NA,"Neutral",NA,"","Disagree","Disagree","postdoc","","","1"
"584","R_1TTcszmroLMkPVW","Mar 2011","Jan 2011","Biol. Conserv.","Somewhat Disagree","Disagree","2-4 papers with archived data","A few times","Once","Never","Never","A few times","Never","Never","Never","Never","Never","Never","Never","A few times","A few times",NA,"","Never","I don't know","No policy","No policy","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","","","","","","","","","Disagree",NA,NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"",NA,NA,NA,NA,"Neutral",NA,NA,"Neutral","Neutral",NA,NA,"","Agree","Somewhat Agree","postdoc","","","1"
"585","R_9MNnWU1qTM7tz48","Mar 2011","Jan 2011","Evol. Ecol.","Somewhat Disagree","Disagree","No papers with archived data","A few times","A few times","Never","A few times","Never","Never","Never","Never","Never","Never","Never","Never","A few times","Never",NA,"","Never","I don't know","No policy","No policy","","","NONE of the datasets are publicly available online","","","","","","","","","","","","","","We plan to share the dataset upon request","","","","","","","","","Somewhat Agree",NA,NA,"Neutral","Neutral","Neutral","Neutral","Neutral",NA,NA,NA,"Neutral",NA,"",NA,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",NA,NA,"Neutral",NA,"","Somewhat Agree","Somewhat Agree","student","","","1"
"586","R_3PpgJUlShW9QK0I","Mar 2011","Jan 2011","Biol. Conserv.","Disagree","Disagree","No papers with archived data","A few times","A few times","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Never","","Never","I don't know","I don't know","I don't know","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,"Strongly Disagree",NA,NA,"Neutral",NA,"Neutral","Strongly Disagree",NA,"","Strongly Agree",NA,"Strongly Agree","Neutral","Neutral",NA,NA,NA,NA,"Strongly Agree",NA,"","Agree","Agree","tenured faculty","","I think this is an important topic that needs more urgent attention.  Knowing ahead of time that data will need to be archived may  also force better organization and management of data (at least in my case) and provide for better long-term analysis of issues related to climate change for example. /  / Questionnaire was well organized, but did take me longer than 10 minutes I think.  ","1"
"587","R_bIRxYqulvqvTMsk","Mar 2011","Jan 2011","J. Anim. Ecol.","Somewhat Disagree","Disagree","1 paper with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","No policy","No policy","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Disagree","Strongly Disagree","Strongly Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,"",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"","Somewhat Disagree","Strongly Disagree","postdoc","","","1"
"589","R_bjzUwrtX7fIOswk","Mar 2011","Jan 2011","Proc. R. Soc. B-Biol. Sci.","Strongly Agree","Strongly Agree","2-4 papers with archived data","A few times","A few times","Never","Once","Once","Never","Never","Never","Never","Never","Never","Many times","Many times","A few times",NA,"","Never","Requires online public archiving","No policy","No policy","ALL datasets are publicly available online","","","","","","","Journal supplementary information","A repository for data or research output","","","","","","","","","","","","","","","Not applicable","","Agree",NA,"Neutral",NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Agree","Neutral","tenured faculty","","In my field (molecular systematics) it is common practice to deposit the data in a repository (genbank) where it will be publicly available. Yet in related fields and fields that often use this sort of data (such as ecology) it is not common practice to make data available. Thus it seems there are still double standards when it comes to data sharing","1"
"590","R_abgJJ35CymkiKDW","Mar 2011","Jan 2011","Biol. J. Linnean Soc.","Somewhat Disagree","Disagree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","","Never","I don't know","I don't know","I don't know","","","NONE of the datasets are publicly available online","","","","","","","","","","","","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Disagree",NA,NA,NA,NA,NA,NA,"Neutral","Neutral",NA,NA,"Neutral",NA,"","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",NA,"","Strongly Disagree","Strongly Disagree","non-tenured faculty","","","1"
"591","R_3IvUAN95EUMhnak","Mar 2011","Jan 2011","Glob. Change Biol.","Somewhat Agree","Somewhat Agree","5+ papers with archived data","A few times","A few times","A few times","A few times","A few times","Never","Once","A few times","A few times","Never","Never","Never","Many times","Many times",NA,"the questions are a bit tricky because strictly speaking these are not my ""own"" data but the data from institute that carries out the national monitoring. These data are frequently used by many people and available on the internet. ","A few times","Recommends online public archiving","Recommends online public archiving","Recommends online public archiving","","SOME but not all of the datasets are publicly available online","","","","","","","","A personal or lab website","","","","","","","We plan to share the dataset upon request","","","","","","","","We wanted to publicly archive the data but were not able to, due to licencing or funder restrictions","Disagree","Neutral",NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral",NA,NA,"",NA,NA,NA,NA,NA,"Strongly Agree","Strongly Agree","Strongly Agree",NA,NA,NA,"","Agree","Agree","tenured faculty","","The idea is very nice but often I have the difficulties that I receive data from national authorities and they have their own rules to whom I am allowed to hand over the data. this is a problem, because I myself am allowed to use the data but I am not allowed to freely distribute the data to others. We are slowly coming closer to the step where data become freely availalbe but there are still quite a few obstacles.","1"
"592","R_eVisfTjvVZgUJ7e","Mar 2011","Jan 2011","Proc. R. Soc. B-Biol. Sci.","Somewhat Disagree","Somewhat Disagree","5+ papers with archived data","Never","Never","Never","Never","Never","Once","Never","Never","Never","Never","Never","Never","Once","A few times","Never","","Once","Recommends online public archiving","Recommends online public archiving","No policy","","SOME but not all of the datasets are publicly available online","","","","","","Journal supplementary information","","","","","","","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Neutral","Neutral","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neutral","","Neutral",NA,NA,"Strongly Disagree",NA,"Neutral","Neutral",NA,NA,NA,"Neutral","","Agree","Somewhat Agree","tenured faculty","","","1"
"593","R_77pUIwqyej4pOD2","Mar 2011","Jan 2011","J. Evol. Biol.","Disagree","Strongly Disagree","No papers with archived data","Once","Never","Never","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Never","","Never","Recommends online public archiving","No policy","No policy","","","","","","Other (please specify)","The whole data set can actually be inferred from one of the figs.","","","","The entire dataset is in the body of the paper","","","","","","","","","","","","","Not applicable","","Disagree",NA,NA,NA,NA,"Neutral",NA,"Strongly Disagree","Strongly Disagree","Neutral",NA,"Neutral",NA,"",NA,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",NA,"","Disagree","Disagree","non-tenured faculty","","","1"
"594","R_0rJaWM65pOgatda","Mar 2011","Jan 2011","Evol. Ecol.","Somewhat Disagree","Strongly Disagree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","No policy","No policy","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Agree","Strongly Agree","Strongly Agree",NA,"Neutral",NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Neutral",NA,"",NA,NA,"Neutral","Strongly Disagree","Neutral",NA,NA,NA,NA,"Neutral",NA,"","Somewhat Agree","Somewhat Agree","research staff","","","1"
"595","R_8itO1a6hu2YFgXi","Mar 2011","Jan 2011","Biol. Conserv.","Agree","Somewhat Agree","No papers with archived data","Once","A few times","Once","Never","Never","Never","Never","Once","Once","Never","Never","Never","Once","A few times",NA,"","Never","I don't know","Recommends online public archiving","Recommends online public archiving","","SOME but not all of the datasets are publicly available online","","","","","","Journal supplementary information","","","","","","","","","We plan to share the dataset upon request","","","","We wanted to publicly archive the data but were not able to, for other reasons","","","","","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Agree","Agree","postdoc","","","1"
"596","R_6nRQUaKqb09aQoQ","Mar 2011","Jan 2011","BMC Plant Biol.","Strongly Agree","Agree","5+ papers with archived data","Never","Never","Never","A few times","Never","Never","Never","Never","Never","Never","Never","A few times","Many times","Never","Never","","Never","Requires online public archiving","No policy","No policy","ALL datasets are publicly available online","","","","","","","","A repository for data or research output","","","","","","","","","","","","","","","Not applicable","","Strongly Agree","Neutral","Neutral","Neutral",NA,"Neutral","Neutral","Neutral","Neutral",NA,NA,"Strongly Agree",NA,"","Strongly Agree","Strongly Agree","Strongly Agree",NA,NA,"Neutral","Neutral",NA,NA,NA,NA,"","Agree","Agree","tenured faculty","","","1"
"597","R_cwEPRtyTvz5zmqo","Mar 2011","Jan 2011","Evol. Appl.","Neutral","Disagree","No papers with archived data","A few times","A few times","A few times","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","A few times",NA,"","Never","Requires online public archiving","I don't know","I don't know","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","We hadn't considered publicly archiving the dataset","","","","","","","","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"",NA,"Strongly Disagree","Neutral","Neutral","Neutral",NA,NA,NA,NA,"Strongly Agree",NA,"","Agree","Somewhat Agree","postdoc","","","1"
"598","R_3BHhNaplWiDcXFG","Mar 2011","Jan 2011","Anim. Behav.","Agree","Disagree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","I don't know","No policy","","SOME but not all of the datasets are publicly available online","","","","","","Journal supplementary information","","","","","","","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Neutral",NA,NA,NA,NA,NA,NA,"Strongly Disagree",NA,NA,"Neutral","Strongly Disagree",NA,"","Neutral",NA,NA,NA,NA,NA,"Neutral","Neutral",NA,NA,NA,"","Somewhat Agree","Somewhat Agree","research staff","","","1"
"599","R_6Mwaad6CKo5MG7G","Mar 2011","Jan 2011","Plant J.","Neutral","Somewhat Agree","2-4 papers with archived data","Never","Never","Never","A few times","A few times","Never","Never","Never","Never","Never","Never","Never","A few times","A few times",NA,"","Never","Requires online public archiving","No policy","No policy","ALL datasets are publicly available online","","","","","","","Journal supplementary information","","","","","","","","","We plan to share the dataset upon request","","","","","","","","","Disagree","Neutral",NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"","Neutral",NA,"Neutral","Neutral","Neutral","Neutral","Neutral",NA,NA,NA,NA,"","Agree","Neutral","tenured faculty","","","1"
"600","R_6r4ZDQL5ZfmOKXy","Mar 2011","Jan 2011","J. Anim. Ecol.","Somewhat Agree","Disagree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","","Never","I don't know","No policy","No policy","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Somewhat Disagree",NA,NA,NA,"Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,"",NA,NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,"","Somewhat Agree","Disagree","postdoc","","","1"
"601","R_1AO5aVvlEHtcJiQ","Mar 2011","Jan 2011","BMC Plant Biol.","Somewhat Agree","Somewhat Agree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","","Never","Recommends online public archiving","Forbids online public archiving","Forbids online public archiving","","","NONE of the datasets are publicly available online","","","","","","A repository for data or research output","","","","","","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Neutral",NA,NA,"Neutral",NA,NA,"Strongly Disagree",NA,NA,NA,NA,NA,NA,"","Neutral",NA,NA,NA,NA,"Neutral","Neutral",NA,NA,"Neutral",NA,"","Neutral","Neutral","research staff","","","1"
"602","R_eeyV9lqxLYGxmFS","Mar 2011","Jan 2011","BMC Plant Biol.","Neutral","Strongly Agree","2-4 papers with archived data","A few times","A few times","Never","A few times","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once",NA,"","Never","I don't know","Requires online public archiving","I don't know","ALL datasets are publicly available online","","","","","","","Journal supplementary information","A repository for data or research output","","","","","","","","","","","","","","","","","Agree",NA,"Neutral",NA,"Neutral","Strongly Disagree","Neutral","Neutral","Neutral",NA,NA,"Neutral",NA,"","Strongly Agree","Strongly Agree",NA,"Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"","Strongly Agree","Agree","non-tenured faculty","","","1"
"603","R_7anJwiZoWlj7FXe","Mar 2011","Jan 2011","Glob. Change Biol.","Neutral","Somewhat Agree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","Recommends online public archiving","Recommends online public archiving","","","NONE of the datasets are publicly available online","","","","","","","","","","","","","","","","","","","","","Not applicable","","Neutral",NA,NA,NA,NA,NA,NA,NA,"Neutral","Neutral","Neutral",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Neutral","Neutral","Neutral",NA,"","Agree","Agree","postdoc","","","1"
"604","R_cSkuUHmQxmWz1Iw","Mar 2011","Jan 2011","PLoS. Biol.","Strongly Disagree","Somewhat Agree","1 paper with archived data","Never","Never","Never","Once","Many times","Never","Never","Never","Once","Once","Never","Once","Once","Never",NA,"","Once","No policy","No policy","No policy","","SOME but not all of the datasets are publicly available online","","","","","","Journal supplementary information","","","","","","","","We plan to publicly archive the dataset in the future","We plan to share the dataset upon request","We hadn't considered publicly archiving the dataset","","","","","","","","Somewhat Agree",NA,NA,"Neutral","Neutral",NA,NA,"Neutral",NA,NA,NA,"Strongly Agree",NA,"",NA,NA,"Neutral","Strongly Disagree","Strongly Disagree","Neutral","Neutral",NA,NA,"Strongly Disagree","Strongly Agree","doing that does bring time and money and divert me from my research in a limited founding situation","Somewhat Agree","Somewhat Agree","tenured faculty","","Yes, I have.  In most countries  particularly in mine, research founding has been cut substantially and teaching substantially increased.  Requirement to perform sistematic datasharing will further slow down the rate of my research development and favour further the competition by competitors in countries with better founding that already have strong advantage in research.","1"
"605","R_2r9xwi6PCLz3zxi","Mar 2011","Jan 2011","Genetics","Somewhat Agree","Somewhat Disagree","No papers with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","","Never","I don't know","Recommends online public archiving","I don't know","","","","","We did not collect any data for that publication","","","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neutral",NA,"",NA,NA,NA,"Neutral",NA,"Neutral",NA,NA,"Neutral",NA,NA,"","Somewhat Agree","Neutral","tenured faculty","","","1"
"606","R_8J8TMMfDLGN3u1C","Mar 2011","Jan 2011","J. Exp. Bot.","Somewhat Agree","Disagree","No papers with archived data","A few times","A few times","A few times","A few times","Never","Once","Never","A few times","A few times","Never","Never","Never","Never","A few times",NA,"","A few times","I don't know","No policy","No policy","","","NONE of the datasets are publicly available online","","","","","","","","","","","","","","We plan to share the dataset upon request","","","","","","","","","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree",NA,"Strongly Agree",NA,"","Agree","Neutral","tenured faculty","","","1"
"607","R_8JvJbOAKlDkkjmQ","Mar 2011","Jan 2011","Mol. Biol. Evol.","Strongly Agree","Strongly Agree","5+ papers with archived data","A few times","A few times","Never","Many times","Never","Never","Never","Never","Never","Never","Never","Never","Many times","Never",NA,"","Never","I don't know","Requires online public archiving","I don't know","ALL datasets are publicly available online","","","","","","","","A repository for data or research output","","","","","","","","","","","","","","","","","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"that an appropriate public archive exists for certain data types","Strongly Agree",NA,NA,NA,NA,NA,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"","Strongly Agree","Strongly Agree","tenured faculty","","","1"
"609","R_0P8TlF3yX7SqM6M","Mar 2011","Jan 2011","Plant J.","Agree","Agree","2-4 papers with archived data","A few times","A few times","Never","A few times","A few times","Never","Never","Never","Never","Never","Never","Never","A few times","Never",NA,"","Never","Recommends online public archiving","Requires online public archiving","Requires online public archiving","ALL datasets are publicly available online","","","","","","","Journal supplementary information","","","","","","","","","","","","","","","","","","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Neutral",NA,NA,"Neutral",NA,"Neutral","Neutral",NA,NA,NA,NA,"","Strongly Agree","Somewhat Agree","tenured faculty","","",""
"610","R_afnf2FDtlTTkGHi","Mar 2011","Jan 2011","Proc. R. Soc. B-Biol. Sci.","Somewhat Agree","Disagree","No papers with archived data","A few times","A few times","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","I don't know","I don't know","","SOME but not all of the datasets are publicly available online","","","","","","","A repository for data or research output","","","","","","","","We plan to share the dataset upon request","","","","","","","","","Somewhat Disagree",NA,"Strongly Agree",NA,"Neutral","Neutral","Neutral",NA,NA,"Neutral","Neutral","Neutral",NA,"","Neutral","Neutral",NA,"Neutral","Neutral",NA,NA,NA,NA,NA,NA,"","Somewhat Disagree","Somewhat Agree","tenured faculty","","",""
"611","R_b4wuVpXOCXXYQNS","Mar 2011","Jan 2011","J. Exp. Bot.","Agree","Somewhat Agree","5+ papers with archived data","A few times","Never","Once","A few times","Never","Never","Never","Never","Once","Never","Never","Never","Never","Never",NA,"","Never","I don't know","No policy","No policy","ALL datasets are publicly available online","","","","","","","","A repository for data or research output","","","","","","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Neutral","Neutral","Neutral","Neutral",NA,NA,NA,"Neutral","Neutral","Neutral",NA,NA,NA,"","Neutral",NA,NA,"Neutral","Neutral","Neutral","Neutral",NA,NA,NA,NA,"","Neutral","Somewhat Agree","tenured faculty","","",""
"612","R_ebuIKJxJfDJRbxy","Mar 2011","Jan 2011","J. Exp. Bot.","Somewhat Disagree","Disagree","No papers with archived data","A few times","A few times","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","I don't know","No policy","No policy","","","NONE of the datasets are publicly available online","","","","","","","","","","","","","","","","","","","","","","","Somewhat Agree","Neutral",NA,"Neutral",NA,"Neutral","Neutral","Neutral",NA,NA,NA,NA,NA,"",NA,NA,"Neutral",NA,NA,NA,NA,"Neutral","Neutral",NA,NA,"","Neutral","Neutral","tenured faculty","","",""
"613","R_bdfw0PTxjbTRN1G","Mar 2011","Jan 2011","Evolution","Disagree","Disagree","No papers with archived data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Recommends online public archiving","Recommends online public archiving","No policy","","","NONE of the datasets are publicly available online","","","","","","","","","","","","","","","","We considered publicly archiving data and decided not to","","","","","","","Agree",NA,NA,NA,"Strongly Agree",NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Agree",NA,"","Neutral","Neutral","Neutral","Neutral","Neutral",NA,NA,NA,NA,NA,NA,"","Strongly Disagree","Strongly Disagree","tenured faculty","","",""
"614","R_795pPpDAEKV6STa","Mar 2011","Jan 2011","Am. Nat.","Somewhat Disagree","Disagree","No papers with archived data","Once","Once","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","Requires online public archiving","I don't know","No policy","","","","","We did not collect any data for that publication","","","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Strongly Disagree","Neutral",NA,"Neutral",NA,NA,NA,"Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,"",NA,NA,NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,"","Strongly Agree","Neutral","tenured faculty","","",""
"615","R_205YDonMuH5oh3C","Mar 2011","Jan 2011","J. Biogeogr.","Neutral","Disagree","5+ papers with archived data","A few times","A few times","A few times","A few times","Never","Once","Never","Never","Never","Never","Never","Never","Many times","A few times",NA,"","Never","No policy","No policy","No policy","ALL datasets are publicly available online","","","","","","","Journal supplementary information","","","","","","","","","","","","","","","","Not applicable","","Strongly Disagree","Neutral",NA,NA,NA,NA,NA,"Strongly Disagree",NA,NA,NA,NA,NA,"","Strongly Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Agree",NA,"","Strongly Agree","Somewhat Agree","non-tenured faculty","","",""
"616","R_23t1JVgIkbOLI7G","Mar 2011","Jan 2011","Proc. R. Soc. B-Biol. Sci.","Agree","Somewhat Disagree","No papers with archived data","A few times","Once","Never","A few times","Once","Never","A few times","Once","A few times","Once","Once","Once","A few times","Many times",NA,"","Many times","I don't know","Recommends online public archiving","Recommends online public archiving","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","","","","","","Other (please specify)","too many emails from unqualified researchers. my datsets are small, and i prefer to send them out privately","","","Neutral",NA,"Neutral","Neutral",NA,NA,"Strongly Agree","Strongly Disagree",NA,"Strongly Agree","Strongly Agree",NA,NA,"","Neutral","Neutral",NA,NA,NA,"Neutral","Neutral","Neutral","Neutral",NA,NA,"","Somewhat Disagree","Somewhat Agree","non-tenured faculty","","",""
"617","R_bp7D1vTho1wfqTO","Mar 2011","Jan 2011","Anim. Behav.","Agree","Disagree","No papers with archived data","Many times","A few times","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Once",NA,"","Never","I don't know","I don't know","I don't know","","","NONE of the datasets are publicly available online","","","","","","","","","","","Not applicable","","","We plan to share the dataset upon request","We hadn't considered publicly archiving the dataset","","","","","","","","Disagree","Neutral",NA,"Strongly Disagree",NA,NA,NA,"Strongly Disagree","Neutral","Neutral","Neutral","Neutral",NA,"","Neutral",NA,NA,"Neutral","Neutral","Neutral","Neutral","Neutral",NA,NA,NA,"","Somewhat Agree","Neutral","postdoc","","",""
"618","R_4TkMSYwGD208zt2","Mar 2011","Jan 2011","Evol. Ecol.","Strongly Disagree","Strongly Disagree","1 paper with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",NA,"","Never","Recommends online public archiving","Other","Other","ALL datasets are publicly available online","","","","","","","","","","","","","Not applicable","","","","","","","","","","Not applicable","","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,"","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree",NA,"","Strongly Agree","Neutral","Other (please specify)","amateur/unemployed","",""
"619","R_b416xBF4DSAyda4","Mar 2011","Jan 2011","Mol. Phylogenet. Evol.","Somewhat Agree","Strongly Agree","1 paper with archived data","Once","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Never","Never","","Never","Requires online public archiving","Requires online public archiving","Requires online public archiving","","SOME but not all of the datasets are publicly available online","","","","","","","A repository for data or research output","","","","","","","","","","","","","","","","","Somewhat Disagree","Neutral",NA,NA,"Neutral",NA,"Neutral",NA,NA,NA,NA,"Neutral",NA,"",NA,NA,NA,"Neutral",NA,NA,"Neutral",NA,NA,NA,NA,"","Strongly Agree","Strongly Agree","student","","",""
"620","R_6mv9lwOIinCfioQ","Mar 2011","Jan 2011","Evolution","Neutral","Neutral","1 paper with archived data","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Never",NA,"","Never","Requires online public archiving","No policy","Recommends online public archiving","ALL datasets are publicly available online","","","","","","","","A repository for data or research output","","","","","","","","","","","","","","","","","Disagree",NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,"Strongly Disagree",NA,"","Strongly Agree","Strongly Agree",NA,"Neutral","Neutral","Strongly Agree","Strongly Agree",NA,NA,"Strongly Agree",NA,"","Somewhat Agree","Somewhat Disagree","student","","",""
"621","R_3Vug5BqwHsPoD6k","Mar 2011","Jan 2011","Am. Nat.","Neutral","Neutral","2-4 papers with archived data","Never","Never","Never","Once","Never","Never","Never","Never","Never","Never","Never","Never","A few times","Never",NA,"","Never","Recommends online public archiving","Recommends online public archiving","Recommends online public archiving","","","NONE of the datasets are publicly available online","","","","","","","","","","","","","","","We hadn't considered publicly archiving the dataset","","","","","","","","Disagree",NA,NA,NA,NA,NA,NA,"Strongly Disagree",NA,NA,NA,NA,NA,"",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Neutral","Neutral",NA,NA,NA,NA,"I will be able to reuse my own data more easily","Somewhat Agree","Somewhat Agree","postdoc","","","1"
